CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0152,0.9997522386317672
C0001,C0160,0.9889044245027749
C0001,C0134,0.9773089338116359
C0002,C0029,0.9971140589243573
C0002,C0166,0.9893258417781315
C0002,C0025,0.977535664770664
C0003,C0177,0.9903709411364169
C0003,C0085,0.9872994779668146
C0003,C0036,0.9872274201648388
C0004,C0175,0.9988262167236057
C0004,C0173,0.9961808903468864
C0004,C0108,0.9866475696072673
C0005,C0073,0.9999661470927448
C0005,C0159,0.9998255571163368
C0005,C0112,0.9988051821353477
C0006,C0066,0.915587155988749
C0006,C0026,0.8790508512263142
C0006,C0117,0.86183978971067
C0007,C0125,0.9982119952199967
C0007,C0193,0.9969711678223484
C0007,C0176,0.994747258439781
C0008,C0090,0.9903320722072181
C0008,C0017,0.9787899904000631
C0008,C0024,0.962786777801099
C0009,C0077,0.9945396386077163
C0009,C0128,0.9774902021610616
C0009,C0186,0.9721142070934419
C0010,C0199,0.9951420601761614
C0010,C0083,0.9907720503504293
C0010,C0071,0.9709238335970323
C0011,C0107,0.9989096589109767
C0011,C0152,0.9689530114004047
C0011,C0001,0.9642493432867804
C0012,C0046,0.9841971076697886
C0012,C0126,0.9781369922515788
C0012,C0136,0.9725364716008527
C0013,C0054,0.994784152220635
C0013,C0087,0.9911572060218015
C0013,C0022,0.9889777036673896
C0014,C0033,0.9991670453984783
C0014,C0063,0.9971453609533533
C0014,C0020,0.9960084676304835
C0015,C0058,0.9996319763093875
C0015,C0097,0.9992516062978661
C0015,C0123,0.9986661864754461
C0016,C0183,0.9981685516170048
C0016,C0182,0.9958644187350262
C0016,C0187,0.9952954429139165
C0017,C0090,0.9975913482203136
C0017,C0008,0.9787899904000631
C0017,C0093,0.9674483828671403
C0018,C0187,0.9999718317709685
C0018,C0182,0.9996006370050848
C0018,C0016,0.9945455670143144
C0019,C0164,0.8783236958547536
C0019,C0161,0.8341372008908191
C0019,C0147,0.8271692344366657
C0020,C0167,0.997453686619782
C0020,C0063,0.997301877263219
C0020,C0014,0.9960084676304835
C0021,C0075,0.9984494930101507
C0021,C0067,0.9963012557655232
C0021,C0068,0.9945092687830762
C0022,C0059,0.9989301510910773
C0022,C0051,0.9981547850479084
C0022,C0041,0.9950606971412208
C0023,C0153,0.9951341798730412
C0023,C0053,0.989028701417146
C0023,C0045,0.9659117937835313
C0024,C0181,0.9889139629414
C0024,C0194,0.985345521254056
C0024,C0084,0.9785769953539424
C0025,C0192,0.9949725067243432
C0025,C0029,0.990678928299637
C0025,C0083,0.9821337789770891
C0026,C0066,0.9936616222776281
C0026,C0115,0.9849436506918747
C0026,C0117,0.9669271780912624
C0027,C0131,0.9935852366027624
C0027,C0112,0.9891760120310351
C0027,C0192,0.9879871556144403
C0028,C0143,0.993142668938525
C0028,C0054,0.9667664135558861
C0028,C0087,0.9633121319494228
C0029,C0002,0.9971140589243573
C0029,C0025,0.990678928299637
C0029,C0192,0.988669424616906
C0030,C0189,0.9994463810801822
C0030,C0069,0.9981144362092675
C0030,C0076,0.9969928760094754
C0031,C0142,0.9943960449512073
C0031,C0177,0.9695180687146692
C0031,C0036,0.9663964078589165
C0032,C0142,0.9775093459334824
C0032,C0033,0.9695235217283978
C0032,C0151,0.9675748609756912
C0033,C0014,0.9991670453984783
C0033,C0151,0.995430570054743
C0033,C0063,0.993252924309099
C0034,C0047,0.975324718239691
C0034,C0181,0.9624569585806827
C0034,C0049,0.9620975374269164
C0035,C0146,0.9995126053733843
C0035,C0177,0.9859504698542858
C0035,C0003,0.960610392558797
C0036,C0144,0.9962148941469405
C0036,C0178,0.989512878219046
C0036,C0129,0.988751583393767
C0037,C0149,0.9989057568748136
C0037,C0171,0.9711666887677971
C0037,C0023,0.940901496310863
C0038,C0106,0.999716535033946
C0038,C0134,0.999712513113545
C0038,C0174,0.9961543295052824
C0039,C0195,0.9980587065280362
C0039,C0105,0.9878255175718265
C0039,C0057,0.9867540443372828
C0040,C0074,0.9587347198713362
C0040,C0158,0.9350906918259752
C0040,C0196,0.9255988366800838
C0041,C0059,0.9981180164001913
C0041,C0051,0.9960283544691728
C0041,C0022,0.9950606971412208
